 linenumber |                                          path                                          |                                               content                                                |  project  |      szz_date       | copypath | copyrevision | mergerev | branchrev | changeproperty | missed | furtherback | contentdiff | issample | diffjmessage | diffjlocation | refdiffindex | adjustmentindex | indexposrefac | indexfurtherback | indexchangepath | isrefac |                 revision                 |               fixrevision                | islargest | islatest |              startrevision               |                                       startpath                                        | startlinenumber |                                             startcontent                                             | isvalidfix | hasmatchmaszz | isvalidresult 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java                    | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java                    |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java            | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java            |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java          | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java          |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java                  | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java                  |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java                 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java                 |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java               | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java               |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java                    | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java                    |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java                  | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java                  |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java                | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java                |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java              | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java              |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java                    | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java                    |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
         17 | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java                  | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      | zookeeper | 2008-06-24 11:35:31 |          |            0 | f        | f         | f              | f      | f           |             |          |              |               |              |               0 |             1 |                2 |               1 | t       | 98b153609b00157bb02ba75814f49a9bd46dc26d | cfd2ecb8d049c1b51b2c1e6d5fd02edd5d3c26e8 |           |          | 98b153609b00157bb02ba75814f49a9bd46dc26d | src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java                  |              17 | -package com.yahoo.zookeeper.jmx.server.quorum;                                                      |            |               | 
